comments,sentiment
La mejor canción de la historia de la música 🎶 🎉y la va a seguir siendo para siempre bancan,Positive Comment
🎉 saport me,Positive Comment
Dady Lo Maximo..,Positive Comment
This is the most viewed video<br>👇,Positive Comment
this is so good,Positive Comment
If you&#39;re listening to this song you&#39;re a legend (2024),Positive Comment
2024,Positive Comment
Rf de la escuela 😃,Positive Comment
Sgx que no se me había ❤,Positive Comment
Like el que ama a dios yo si amen,Positive Comment
The fact you realise that this song views have more than world population,Positive Comment
2024🎉🎉🎉,Positive Comment
Soy el único que lo está escuchando en pleno 2024? XD,Positive Comment
"I didn’t realize this was a hit song until a few days ago. Many kudos to writers, composers, and artists! You deserve the best! I want to present a different song genre (club music) with a unique cultural atmosphere. I hope you enjoy it. <a href=""https://www.youtube.com/watch?v=rjoNPzmbB8Q"">https://youtu.be/rjoNPzmbB8Q</a>",Positive Comment
Neden ama,Positive Comment
Que buenos tiempos buenas anécdotas. Como quisiera volver a esos tiempos. Alguien en pleno 2024 escuchandolaaaaa😊🎉,Positive Comment
i wonder how it must feel for him to have the most song on yt (like not a kids song),Negative Comment
Alguien en 2024 o sol el único que escucha este clásico 😊,Positive Comment
Mientras hasia mi tarea escribi las ketras de la cansion creo que soy la unica ala que me a pasado 😅😅😅,Positive Comment
Is Anyone here!!-,Negative Comment
بخير ❤,Positive Comment
Glory to God for daddy yankee giving his life to Jesus,Positive Comment
nostalgia hit hard🥲❤,Positive Comment
La canción que arruinó la musica por 5 años,Positive Comment
Cut the sh¡t stop saying 2024?? Someone???? 2024???? 👀👀👀 YOOOOOO STFUUU MFS ○\/○<br>            <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>U can see this! Like my comment then🦸🦸🦸🦸,Negative Comment
Freaking song 🎉🎉🎉🎉🎉🔥🔥🔥,Negative Comment
Dios mío qué salió en 2017 y ya estamos a 2024 que rápido se ha pasado el tiempo,Positive Comment
Chipi chipi chapa chapa mágico mi dubi dubi boom boom boom boom,Positive Comment
"<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/oPgfY_DoKfSXkNAPq8-AgAo""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/oPgfY_DoKfSXkNAPq8-AgAo""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/oPgfY_DoKfSXkNAPq8-AgAo""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/oPgfY_DoKfSXkNAPq8-AgAo""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/oPgfY_DoKfSXkNAPq8-AgAo""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/Z8MfY8mzLbnovwK5roC4Bg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/Z8MfY8mzLbnovwK5roC4Bg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/Z8MfY8mzLbnovwK5roC4Bg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/Z8MfY8mzLbnovwK5roC4Bg""></a>",Negative Comment
Quem aqui esta vindo despois que o daddy entregou sua avida a cristo?? 👉,Negative Comment
"@  ▷	Luis Fonsi ft. Daddy Yankee<br>🎶▷	Despacito<br>💿▷	Vida<br>📅▷	2017<br>🎬︎▷	Carlos R. Pérez",Positive Comment
These lyrics are something else dawg 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭💀💀💀💀💀💀💀💀💀💀💀,Negative Comment
2024 anyone ?,Negative Comment
2024,Positive Comment
"i never took notice of this song when it was popular way back.<br>Now I&#39;ve seen the video, it made me fall in love with it",Positive Comment
"Escuchar esta musica me trae muchos recuerdos, como me gustaria volver a esos tiempos 🥲❤",Positive Comment
My daughter loves this song,Positive Comment
ظننت اللغة يتكلمة,Negative Comment
ظننت اللغة يتكلمة,Negative Comment
والله لو جيتك لا افتتل,Negative Comment
ايه دا حديث ٩٩ الاغنية,Negative Comment
"si te pido un beso ven dámelo, yo sé que estás pensándolo, llevo un tiempo intentándolooo 💃✨ PASITO A PASITO SJSJDJ",Positive Comment
How does this video have more views than the current human population of 8.1 billion????,Positive Comment
Only 8B views? 🫥,Positive Comment
Who is listening in 2024❤😮,Positive Comment
До сих пор зажигаемо,Negative Comment
Oui tout mais j&#39;y crois plus😢prénom g....mais j&#39;ai dit fini je te bloque pas de réactions jamais de discussions <br>Sa phrase&quot;les nons dits veulent tout dire&quot; trop de mascarade.  Mare de tout cela   ..il sait où me trouver mais j&#39;y crois plus,Positive Comment
2024 anyone? 👀,Positive Comment
Я просто обожаю латино ❤,Positive Comment
2024🎉🎉,Positive Comment
Esta canción es mítica,Positive Comment
Who is listening in 2024?,Positive Comment
2024😍,Positive Comment
It will always hit,Positive Comment
Oro,Positive Comment
いいねが欲しい,Negative Comment
Abonné vous,Negative Comment
Hello,Positive Comment
i dont know why i re-watched this again after 7 years,Negative Comment
EHSANULLAH pepAmin 😍 🥰 😇 😊 😉 😙 😍 🥰 😇,Positive Comment
2024❤,Positive Comment
sond that are more than 7 years old are the best.,Positive Comment
Here in 2024. Shit is still so damn good. Fonsi and yankee were meant for this fr,Positive Comment
🇧🇩🙂,Positive Comment
8 billion view 🤯 who&#39;s left not seen this yet?,Positive Comment
"El orgullo que siento en el pecho al saber que la mayoría del planeta entero ha escuchado esta canción, es inmenso 🥺😭🇵🇷🩵💕",Positive Comment
It lowkey hits harder when you have no clue what they yapping about,Negative Comment
Me after knowing lyrics 💀🤡,Positive Comment
8376 M de visualizaciones 😮,Positive Comment
This is the best viwers song in the world🫣 will be maybe 1000 core views🎉,Positive Comment
"without the lyrics, the song really deceives us completely 😶😶😶",Negative Comment
Who is in 2024,Positive Comment
l from Russha  дальше не знаю что писать но даже до сюда добролась это песня😅,Negative Comment
8B views &amp; 4M comments but no comment with 200K likes? Let&#39;s make this one :),Positive Comment
Alguien el 12 de febrero,Positive Comment
Understanding 0%😅😅😅😅 enjoy hundred %😊😊😊,Positive Comment
4.2M comments 8.3B views,Positive Comment
Your all sus why are you doing that,Negative Comment
2024 😂😂😂,Positive Comment
Ayyyy🤗💃🤸🤸💃💃🤸,Positive Comment
Katherine Cajulao favorite song is Despacito it&#39;s remind me thinking about Robin Torres it&#39;s part of me about all my whole life with her this song for her,Positive Comment
Ayyyy🤗💃🤸🤸💃💃🤸,Positive Comment
People listening this for Valentine&#39;s day ❤,Positive Comment
thanks for 2 subscribe ❤❤,Positive Comment
2024 😍,Positive Comment
Daddy Yankee is Illuminati,Positive Comment
2024 anyone?,Positive Comment
"This song I watch in 2024,  and this is cool 😎",Positive Comment
malaysia hadir . 2024 hadir,Positive Comment
Who’s here in 2024?😊,Positive Comment
The fact you realise that this song views are more than world population,Positive Comment
Bella canzone.. l ascolto ancora oggi...,Positive Comment
The fact you realise that this song views are more than world population 😅,Positive Comment
"<a href=""https://youtube.com/@nomanhussain1863?si=GJzuNSg-Tba9wteO"">https://youtube.com/@nomanhussain1863?si=GJzuNSg-Tba9wteO</a>",Positive Comment
Есть еще те кто слушает эту замечательную и красивую душевную музыку в 2024 ? ❤,Positive Comment
Who watch this music in 2024 😂,Positive Comment
you have commented more than 4 Million but not but subscribed <br>👇,Positive Comment
🎉❤,Positive Comment
"This song isn&#39;t even that good, it does not deserve this ridiculous amount of views.",Negative Comment
남미가고싶다,Negative Comment
Úchyle,Positive Comment
Liking the song because of the vibes 😎<br>Liking the song because of the lyrics 💀,Positive Comment
"This is the song of which country and what is the name of this language, someone please tell me",Negative Comment
Who is here in 2024,Positive Comment
"<a href=""https://www.youtube.com/watch?v=OAGzrlACZRc"">https://www.youtube.com/watch?v=OAGzrlACZRc</a> this video has no reason to be popular",Negative Comment
"I still remember when this video used to be 3 years ago, now it&#39;s 7 years ago😭😭",Positive Comment
😢,Positive Comment
❤❤❤,Positive Comment
Heló 🧸🧸<br>Blessings 🙏🙌💋🙏❤❤❤❤😂😂🎉😂,Positive Comment
Живу в сибири. Жизни нет без денег женщин и вина.,Positive Comment
2024. anyone?,Positive Comment
"<a href=""https://youtube.com/@Hindufighter?si=MWQ5JCxvlSFYI68t"">https://youtube.com/@Hindufighter?si=MWQ5JCxvlSFYI68t</a>",Positive Comment
2024 ❤West Bengal❤ থেকে কে কে এই গান টা শুনছো লাইক করো❤❤,Positive Comment
Any legends here in 2024?,Positive Comment
Wow energetic song ❤❤❤❤ Love from Nepal,Positive Comment
there are more views on this vedio than the fucking world population!!!!!!,Negative Comment
best,Positive Comment
Who is here 2024?❤,Positive Comment
😊❤❤❤❤❤❤😂😂😂🎉🎉🎉🎉😅😅😅😅😅<br><br><br>😊😊😊😊😊🎉🎉,Positive Comment
What kind of girl&#39;s are they?,Positive Comment
2024 ?,Positive Comment
10 billion 🎉 2025,Positive Comment
2024😊❤,Positive Comment
I remember this song and came to watch.,Positive Comment
👷👷👷,Positive Comment
Don&#39;t know the language<br>still  enjoy the song😅😅,Positive Comment
Who watching this in 2024<br>👇,Positive Comment
"The Battle of Lake Poyang was a crucial naval battle fought in 1363 during the end of the Yuan dynasty in China. It was the largest naval battle in history, with an estimated 850,000 soldiers and sailors involved. The battle was important because it marked a turning point in Chinese history, leading to the downfall of the Yuan dynasty and the eventual rise of the Ming dynasty. The victory at Lake Poyang enabled the Ming forces to solidify their control over southern China and consolidate their power. It also highlighted the strategic importance of naval warfare in Chinese military history. The battle demonstrated the effectiveness of guerrilla warfare tactics and the importance of alliances between regional warlords in shaping the course of Chinese history. The aftermath of the battle led to a period of stability and prosperity under the Ming dynasty, which lasted over three centuries. Overall, the Battle of Lake Poyang was a significant event that had a lasting impact on Chinese history, politics, and culture.",Positive Comment
Who is here in 2024🎉😂?,Positive Comment
Who believes that Despacito became major hit because of Daddy Yanky???,Negative Comment
🎉🎉🎉🎉,Positive Comment
¿Quién quiere que It sea el vídeo número 1 en YouTube?,Negative Comment
El vídeo con más likes en el mundo 🌎,Positive Comment
"<a href=""https://www.youtube.com/watch?v=kJQP7kiw5Fk&amp;t=63"">1:03</a>",Negative Comment
"<a href=""https://www.youtube.com/watch?v=kJQP7kiw5Fk&amp;t=64"">1:04</a>",Negative Comment
"<a href=""https://www.youtube.com/watch?v=kJQP7kiw5Fk&amp;t=42"">0:42</a>",Negative Comment
2024 come back songs fill now😎😎😎🤘🤘🔥🔥🤙🤙,Positive Comment
"<b>I remember that because this song was getting so many views, that they were using the comments section to promote their channels. It probably don&#39;t work now though. Doubt anyone&#39;ll see me.</b> haha",Positive Comment
"<a href=""https://www.youtube.com/watch?v=kJQP7kiw5Fk&amp;t=87"">1:27</a> seconds gives me a headache",Negative Comment
This really was the closest we got to world peace,Positive Comment
Justin oligara<br>Jeremey weaser<br>Edward alexabder dolb<br>Mitchell warren<br>Christina baker<br>Chelsea avangale<br>V2k terrorists,Positive Comment
2025 attendance please !!  ❤,Positive Comment
Anyone in 2024😊,Positive Comment
Блять. 8 миллиардов просморов😮,Negative Comment
4 savol:<br>hafta_kunlari = {<br>&quot;dushanba&quot;:1<br>&quot;seshanba&quot;:2<br>&quot;chorshanba&quot;:3<br>&quot;payshanba&quot;:4<br>&quot;juma&quot;:5<br>&quot;shanba&quot;:6<br>&quot;yakshanba&quot;:7<br>}<br>a = input()<br>if a in hafta_kunlari:<br>         print(hafta_kunlari[a]),Negative Comment
Who is still watching this in 2024 👍,Positive Comment
"tuple1 = (4,5)<br>tuple2=(6,7)<br>tuple1 = tuple2",Negative Comment
Still listening this song ❤,Positive Comment
Really wanna know who’s in 2024,Positive Comment
한국인 손,Negative Comment
WHO&#39;S HERE FEBRUARY 2024<br>FOR THE SUPER LEGEND ⭐👑<br>like and comment &quot;ME&quot;,Positive Comment
"<a href=""https://www.youtube.com/watch?v=kJQP7kiw5Fk&amp;t=57"">0:57</a> why does that street remind me of a COD level?",Negative Comment
No mames tantas visitas,Negative Comment
yes,Positive Comment
Indian,Negative Comment
No es sorprendente que esta cancion tenga 8300 millones de visitas,Negative Comment
2024 ?? 😂❤,Positive Comment
cool song,Positive Comment
2/12/2024,Positive Comment
Impressive 💯❣️,Positive Comment
"<a href=""https://www.youtube.com/shorts/LWggP_zl0a4"">https://youtube.com/shorts/LWggP_zl0a4?si=usGb6VTuIzNxx3Y4</a>",Negative Comment
This song is so nostalgia,Positive Comment
"It’s February 2024,let’s see how many legends are listening to this incredible song ❤",Positive Comment
Happy valentines Day gusy ❤,Positive Comment
I can’t believe the whole world listened to this song,Negative Comment
It seven years ago. But people who are listening this song. ❤🫶,Positive Comment
anyone else who listen in 2024😂,Positive Comment
BRUH,Positive Comment
Me  gustan  tus  musicas,Positive Comment
テミンしい😂大人のうたをうたいこなしていたね😊,Positive Comment
大谷選手が、歌っていたとはね😊もちろんスパニッシュだろうね😊,Positive Comment
テミンしいが歌っていて必死で歌詞をかきとってね歌っていたよソレソレって😊,Positive Comment
2024❤❤,Positive Comment
Menyala abangkuh🔥,Negative Comment
Aiiiiiiiiiiiiiii,Positive Comment
Anyone watching this song in 2024❤😊,Positive Comment
SWEET,Positive Comment
Alguien en 2024 😢😢😅😅,Positive Comment
We&#39;re in a world where Baby Shark and this are the most viewed videos on YouTube 💀what a load of garbage,Negative Comment
2024 saya masih mendengarnya,Positive Comment
ABC,Negative Comment
😊😅😮,Positive Comment
Gosh.when I translate it into English…CRAZY,Negative Comment
Está canción me pone de buenas o no,Positive Comment
Esa canción  la escribió daddy,Positive Comment
Quien vino a escuchar este himno después de muchos años❤,Positive Comment
2024 😁?,Positive Comment
2024??,Negative Comment
Add a comment…,Negative Comment
Qui est la ?,Negative Comment
"em 2024 aqui agora.... ouvindo.... desculpa , caiu uma lágrima aqui e não foi cisco não senhor 😢",Positive Comment
"<a href=""https://www.youtube.com/watch?v=kJQP7kiw5Fk&amp;t=127"">2:07</a> vs edit music",Negative Comment
I remember dis shi😂,Positive Comment
8.3billion views woah dayum😎,Negative Comment
Despacito mage yatibada puk pashito,Positive Comment
12.2.2024 vẫn nghe,Positive Comment
Me  encanta  esta  cancion😊😊,Positive Comment
Primero,Positive Comment
8 billion views,Positive Comment
anyone here in 2024?,Positive Comment
私の体と心❤が…貴方が欲しいと、いつまでも永遠に、この広い世界を゙彷徨っているわ👄,Positive Comment
Udjdkkfif,Positive Comment
8 bi de pessoas kkk,Positive Comment
😮😮😮😮😮,Positive Comment
Fonsi ❤❤😊😊😊,Positive Comment
Despacito,Negative Comment
"8,3 Billion crazy",Positive Comment
9 Millard views 😮,Positive Comment
I farted,Negative Comment
Qui est revenu l‘écouté en 2024,Positive Comment
Despasito 😮😅,Negative Comment
Просмотры💀,Negative Comment
I don&#39;t know Spanish but i can sing this song very well coz it&#39;s my daily routine every morning,Positive Comment
Ppl that came here to se the most liked video on yt<br>👇,Positive Comment
URI EL. RECORDS DO SHOW!,Positive Comment
Fucking love this❤,Positive Comment
Y MICHA EL SALIO DEL REINO DEL CIELO!!!!!!!!!!!,Positive Comment
Las Diothas!,Positive Comment
Now❤❤❤❤ 1.4 k 😊,Positive Comment
Pase ig de la modelo,Negative Comment
MOST VIEWED VIDEO!!!,Positive Comment
最高の恍惚❤️の世界に、この私の゙身も心も全て捧げているわ💕私の゙中にいる、もうひとりの私、そう、いけない欲望が、いつまでも貴方の事を゙探し求めているわ…👄そう、この命の炎🔥が消え去ってしまうまで…🌹,Positive Comment
The whole earth listen to this work &amp; sure repeat,Positive Comment
11-02-2024 ❤ essa musica ainda e sucesso!❤,Positive Comment
Zaman çok hızlı geçiyor şimdi 2024,Positive Comment
2024 ?,Positive Comment
Love from India ❤,Positive Comment
Русские есть кто слушает этот контент ?,Negative Comment
Oh hell nah,Negative Comment
Siapapun itu di 2024😊,Negative Comment
Language of this song? someone please,Negative Comment
anyone in 2024?,Positive Comment
"Poor youtube, hows this the most liked video?!! the sussiest song in existence",Negative Comment
11/2/2024❤,Positive Comment
2024,Positive Comment
Anyone watching it in 2024 ?,Negative Comment
"we only habe 7,8 bil. ppl in this world. how 8,3 bil. ?",Negative Comment
